baseRank,baseRegressorText,baseRegressorKey,baseTotalOrder,baseMaxMemoryTap,structuralSupportWaveformCount,structuralSupportFraction,oneToOneSupportWaveformCount,oneToOneSupportFraction,exactCount,correlatedClearCount,correlatedBestCount,redundantSupportCount,noMatchCount,supportWaveformList,oneToOneWaveformList
107,x(n-9)^1 |x(n-7)|^1,"X=9;Xconj=zeros(1,0);Xenv=7",2,9,6,0.75,6,0.75,2,3,0,0,2,WF01;WF02;WF03;WF04;WF06;WF08,WF01;WF02;WF03;WF04;WF06;WF08
238,x(n-8)^1 |x(n-10)|^1,"X=8;Xconj=zeros(1,0);Xenv=10",2,10,6,0.75,6,0.75,3,2,0,0,2,WF01;WF02;WF03;WF04;WF06;WF08,WF01;WF02;WF03;WF04;WF06;WF08
263,x(n-9)^1 |x(n-11)|^1,"X=9;Xconj=zeros(1,0);Xenv=11",2,11,6,0.75,6,0.75,4,1,0,0,2,WF01;WF02;WF03;WF04;WF06;WF08,WF01;WF02;WF03;WF04;WF06;WF08
264,x(n-10)^1 |x(n-11)|^1,"X=10;Xconj=zeros(1,0);Xenv=11",2,11,6,0.75,6,0.75,1,3,1,0,2,WF01;WF02;WF03;WF04;WF06;WF08,WF01;WF02;WF03;WF04;WF06;WF08
178,x(n)^1 |x(n-4)|^2,"X=0;Xconj=zeros(1,0);Xenv=[4 4]",3,4,6,0.75,6,0.75,3,2,0,0,2,WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
146,x(n)^1 |x(n-5)|^2,"X=0;Xconj=zeros(1,0);Xenv=[5 5]",3,5,6,0.75,6,0.75,2,3,0,0,2,WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
169,x(n-4)^1 |x(n-5)|^2,"X=4;Xconj=zeros(1,0);Xenv=[5 5]",3,5,6,0.75,6,0.75,1,3,1,0,2,WF02;WF03;WF04;WF05;WF06;WF08,WF02;WF03;WF04;WF05;WF06;WF08
142,x(n)^1 |x(n-6)|^2,"X=0;Xconj=zeros(1,0);Xenv=[6 6]",3,6,6,0.75,6,0.75,2,3,0,0,2,WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
76,x(n)^1 |x(n-8)|^2,"X=0;Xconj=zeros(1,0);Xenv=[8 8]",3,8,6,0.75,6,0.75,3,2,0,0,2,WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
140,x(n)^1 |x(n-9)|^2,"X=0;Xconj=zeros(1,0);Xenv=[9 9]",3,9,6,0.75,6,0.75,3,2,0,0,2,WF02;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF06;WF07;WF08
118,x(n)^1 |x(n-10)|^2,"X=0;Xconj=zeros(1,0);Xenv=[10 10]",3,10,6,0.75,6,0.75,3,2,0,0,2,WF01;WF02;WF05;WF06;WF07;WF08,WF01;WF02;WF05;WF06;WF07;WF08
204,x(n-3)^1 |x(n-1)|^3,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1]",4,3,6,0.75,6,0.75,1,2,2,0,2,WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
252,x(n-2)^2 x*(n)^1 |x(n-2)|^2,"X=[2 2];Xconj=0;Xenv=[2 2]",5,2,6,0.75,6,0.75,0,1,4,0,2,WF02;WF03;WF04;WF05;WF06;WF08,WF02;WF03;WF04;WF05;WF06;WF08
207,x(n-3)^1 |x(n-1)|^4,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1]",5,3,6,0.75,6,0.75,2,2,1,0,2,WF02;WF03;WF04;WF05;WF06;WF08,WF02;WF03;WF04;WF05;WF06;WF08
286,x(n-2)^1 x*(n)^1 x*(n-1)^1 x*(n-3)^2,"X=2;Xconj=[0 1 3 3];Xenv=zeros(1,0)",5,3,6,0.75,6,0.75,1,4,0,0,2,WF01;WF02;WF04;WF05;WF07;WF08,WF01;WF02;WF04;WF05;WF07;WF08
292,x(n)^1 x(n-2)^1 x*(n-3)^1 |x(n-1)|^2,"X=[0 2];Xconj=3;Xenv=[1 1]",5,3,6,0.75,6,0.75,1,2,2,0,2,WF03;WF04;WF05;WF06;WF07;WF08,WF03;WF04;WF05;WF06;WF07;WF08
206,x(n-3)^1 |x(n-1)|^5,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1]",6,3,6,0.75,6,0.75,2,1,2,0,2,WF02;WF03;WF04;WF05;WF06;WF08,WF02;WF03;WF04;WF05;WF06;WF08
50,x(n)^3 x*(n-1)^2 |x(n)|^2,"X=[0 0 0];Xconj=[1 1];Xenv=[0 0]",7,1,6,0.75,6,0.75,1,3,1,0,2,WF01;WF03;WF05;WF06;WF07;WF08,WF01;WF03;WF05;WF06;WF07;WF08
49,x(n-2)^2 x*(n)^1 |x(n)|^4,"X=[2 2];Xconj=0;Xenv=[0 0 0 0]",7,2,6,0.75,6,0.75,2,3,0,0,2,WF02;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF06;WF07;WF08
244,x(n-8)^1 |x(n-10)|^6,"X=8;Xconj=zeros(1,0);Xenv=[10 10 10 10 10 10]",7,10,6,0.75,6,0.75,0,5,0,0,2,WF01;WF02;WF03;WF05;WF07;WF08,WF01;WF02;WF03;WF05;WF07;WF08
239,x(n-10)^1 |x(n-12)|^6,"X=10;Xconj=zeros(1,0);Xenv=[12 12 12 12 12 12]",7,12,6,0.75,6,0.75,1,3,1,0,2,WF01;WF02;WF03;WF04;WF05;WF08,WF01;WF02;WF03;WF04;WF05;WF08
81,x*(n)^8,"X=zeros(1,0);Xconj=[0 0 0 0 0 0 0 0];Xenv=zeros(1,0)",8,0,6,0.75,6,0.75,3,2,0,0,2,WF01;WF04;WF05;WF06;WF07;WF08,WF01;WF04;WF05;WF06;WF07;WF08
202,x(n-3)^1 |x(n-1)|^7,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1]",8,3,6,0.75,6,0.75,1,3,1,0,2,WF02;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF06;WF07;WF08
185,x(n-5)^1 |x(n-3)|^7,"X=5;Xconj=zeros(1,0);Xenv=[3 3 3 3 3 3 3]",8,5,6,0.75,6,0.75,1,4,0,0,2,WF01;WF02;WF04;WF05;WF07;WF08,WF01;WF02;WF04;WF05;WF07;WF08
172,x(n-3)^1 |x(n-1)|^8,"X=3;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1]",9,3,6,0.75,6,0.75,2,2,1,0,2,WF02;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF06;WF07;WF08
187,x(n-6)^1 |x(n-6)|^8,"X=6;Xconj=zeros(1,0);Xenv=[6 6 6 6 6 6 6 6]",9,6,6,0.75,6,0.75,0,3,2,0,2,WF02;WF03;WF04;WF05;WF07;WF08,WF02;WF03;WF04;WF05;WF07;WF08
214,x(n-4)^1 |x(n-2)|^9,"X=4;Xconj=zeros(1,0);Xenv=[2 2 2 2 2 2 2 2 2]",10,4,6,0.75,6,0.75,2,3,0,0,2,WF02;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF06;WF07;WF08
222,x(n-6)^1 |x(n-6)|^9,"X=6;Xconj=zeros(1,0);Xenv=[6 6 6 6 6 6 6 6 6]",10,6,6,0.75,6,0.75,2,3,0,0,2,WF02;WF03;WF04;WF05;WF07;WF08,WF02;WF03;WF04;WF05;WF07;WF08
96,x*(n)^5 |x(n)|^6,"X=zeros(1,0);Xconj=[0 0 0 0 0];Xenv=[0 0 0 0 0 0]",11,0,6,0.75,6,0.75,3,2,0,0,2,WF01;WF02;WF03;WF05;WF07;WF08,WF01;WF02;WF03;WF05;WF07;WF08
294,x(n-4)^1 |x(n-5)|^10,"X=4;Xconj=zeros(1,0);Xenv=[5 5 5 5 5 5 5 5 5 5]",11,5,6,0.75,6,0.75,1,3,1,0,2,WF02;WF04;WF05;WF06;WF07;WF08,WF02;WF04;WF05;WF06;WF07;WF08
148,x*(n)^6 |x(n)|^6,"X=zeros(1,0);Xconj=[0 0 0 0 0 0];Xenv=[0 0 0 0 0 0]",12,0,6,0.75,6,0.75,4,1,0,0,2,WF01;WF04;WF05;WF06;WF07;WF08,WF01;WF04;WF05;WF06;WF07;WF08
17,x(n)^1 |x(n-1)|^11,"X=0;Xconj=zeros(1,0);Xenv=[1 1 1 1 1 1 1 1 1 1 1]",12,1,6,0.75,6,0.75,2,2,1,0,2,WF01;WF02;WF04;WF05;WF07;WF08,WF01;WF02;WF04;WF05;WF07;WF08
